                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1647,                 3.9867,                 4.1736,                0.00367,                 0.6039,                0.00824,                0.00312,                 3.1824,                 3.7739,                 4.1591,                    0.1,                      0,                      0
                      2,                 3.4405,                 3.9989,                 4.2171,                0.00461,                 0.6039,                 0.0088,                0.00293,                 3.1824,                 3.7739,                 4.1585,                 0.0991,                 0.0001,                 0.0001
                      3,                 3.3557,                  4.171,                 4.1695,                0.00407,                 0.6039,                0.00758,                0.00285,                 3.1825,                 3.7739,                 4.1579,                 0.0982,                 0.0002,                 0.0002
                      4,                 3.3473,                 4.1074,                 4.1803,                0.00364,                 0.6039,                0.00877,                0.00353,                 3.1825,                 3.7739,                 4.1581,                 0.0973,                 0.0003,                 0.0003
                      5,                 3.3935,                 4.1041,                 4.1686,                0.00461,                 0.6039,                0.00877,                0.00352,                 3.1704,                 3.7704,                 4.1542,                 0.0964,                 0.0004,                 0.0004
                      6,                 3.1347,                 4.1006,                 4.1791,                0.00449,                 0.6039,                0.00767,                0.00294,                  3.164,                 3.7712,                 4.1505,                 0.0955,             0.00049999,             0.00049999
                      7,                 3.4622,                 4.1408,                 4.1812,                0.00461,                 0.6039,                0.00824,                0.00398,                 3.1498,                 3.7703,                 4.1447,                 0.0946,             0.00059999,             0.00059999
                      8,                 3.3336,                 3.9658,                 4.1721,                0.00465,                 0.6039,                0.01291,                0.00426,                 3.1368,                 3.7632,                 4.1372,                 0.0937,             0.00069998,             0.00069998
                      9,                 3.2196,                 3.8497,                 4.1738,                0.00503,                0.69481,                0.00987,                0.00421,                 3.1177,                 3.7553,                 4.1284,                 0.0928,             0.00079997,             0.00079997
                     10,                 3.2629,                 3.9372,                  4.139,                0.00507,                0.69481,                0.01032,                0.00421,                 3.0982,                 3.7521,                 4.1199,                 0.0919,             0.00089996,             0.00089996
                     11,                 3.3655,                 4.0864,                 4.1577,                0.00512,                0.69481,                0.00928,                0.00307,                 3.0792,                 3.7452,                 4.1112,                  0.091,             0.00099994,             0.00099994
                     12,                  3.182,                  3.996,                  4.144,                0.00507,                0.69481,                0.01036,                0.00442,                 3.0583,                 3.7404,                 4.1015,                 0.0901,              0.0010999,              0.0010999
                     13,                 3.0928,                 3.9181,                 4.1428,                0.00474,                 0.6039,                0.00886,                0.00471,                 3.0397,                   3.72,                 4.0925,                 0.0892,              0.0011999,              0.0011999
                     14,                 3.1009,                 4.0326,                 4.1068,                0.00465,                 0.6039,                0.01338,                0.00544,                 3.0208,                 3.7119,                 4.0847,                 0.0883,              0.0012999,              0.0012999
                     15,                 3.2728,                 3.9266,                 4.1365,                0.00495,                0.64935,                0.01167,                0.00474,                  3.009,                 3.6916,                 4.0773,                 0.0874,              0.0013998,              0.0013998
                     16,                  3.309,                 4.0098,                 4.1094,                0.00507,                0.69481,                0.01286,                0.00476,                 2.9864,                 3.6888,                 4.0675,                 0.0865,              0.0014998,              0.0014998
                     17,                 2.9631,                 4.0013,                 4.1186,                0.00516,                0.69481,                0.00842,                0.00291,                 2.9667,                 3.9569,                 4.0592,                 0.0856,              0.0015997,              0.0015997
                     18,                 3.1975,                 4.0624,                 4.1046,                0.00516,                0.69481,                0.00842,                0.00291,                 2.9667,                 3.9569,                 4.0592,                 0.0847,              0.0016997,              0.0016997
                     19,                 2.9683,                 3.9069,                 4.0983,                0.00457,                 0.6039,                0.01173,                0.00556,                 2.9533,                 3.9508,                 4.0508,                 0.0838,              0.0017996,              0.0017996
                     20,                 2.9282,                 4.0211,                  4.074,                0.00457,                 0.6039,                0.01173,                0.00556,                 2.9533,                 3.9508,                 4.0508,                 0.0829,              0.0018996,              0.0018996
